file,file_type,review_status,findings_count,notes
".config/config.example.yaml","yaml","NOT APPLICABLE",0,"Static VCS/config metadata"
".config/themes.example.yaml","yaml","NOT APPLICABLE",0,"Static VCS/config metadata"
".cursorrules","none","NOT APPLICABLE",0,"Static VCS/config metadata"
".editorconfig","none","NOT APPLICABLE",0,"Static VCS/config metadata"
".env.example","example","NOT APPLICABLE",0,"Static VCS/config metadata"
".gitattributes","none","NOT APPLICABLE",0,"Static VCS/config metadata"
".github/CODEOWNERS","none","NOT APPLICABLE",0,"Static VCS/config metadata"
".github/ISSUE_TEMPLATE/bug_report.md","md","REVIEWED",0,""
".github/ISSUE_TEMPLATE/config.yml","yml","NOT APPLICABLE",0,"Static VCS/config metadata"
".github/ISSUE_TEMPLATE/feature_request.md","md","REVIEWED",0,""
".github/bypass_actors.md","md","REVIEWED",0,""
".github/copilot-instructions.md","md","REVIEWED",0,""
".github/dependabot.yml","yml","NOT APPLICABLE",0,"Static VCS/config metadata"
".github/pull_request_template.md","md","REVIEWED",0,""
".github/workflows/ci.yml","yml","REVIEWED",0,""
".github/workflows/codeql.yml","yml","REVIEWED",0,""
".github/workflows/dependency-review.yml","yml","REVIEWED",0,""
".github/workflows/release.yml","yml","REVIEWED",1,"VF-AUD-20260913-P1-001: verify:release-readiness blocks tag release"
".gitignore","none","NOT APPLICABLE",0,"Static VCS/config metadata"
".nvmrc","none","NOT APPLICABLE",0,"Static VCS/config metadata"
".vscode/settings.json","json","NOT APPLICABLE",0,"Static VCS/config metadata"
"AGENTS.md","md","REVIEWED",0,""
"AGENT_REINITIALIZATION.md","md","REVIEWED",0,""
"CODE_OF_CONDUCT.md","md","REVIEWED",0,""
"CONTRIBUTING.md","md","REVIEWED",0,""
"LEGAL.md","md","REVIEWED",0,""
"LICENSE","none","NOT APPLICABLE",0,"Static VCS/config metadata"
"PRIVACY.md","md","REVIEWED",0,""
"PRODUCT.md","md","REVIEWED",0,""
"README.md","md","REVIEWED",0,""
"SECURITY.md","md","REVIEWED",0,""
"SUPPORT.md","md","REVIEWED",0,""
"assets/ReadMe_Preview.png","png","BINARY",0,"Static binary asset / fixture"
"assets/branding/NOTICE.md","md","REVIEWED",0,""
"assets/branding/venice-keys-black.svg","svg","REVIEWED",0,""
"assets/branding/venice-keys-red.svg","svg","REVIEWED",0,""
"assets/branding/venice-keys-white.svg","svg","REVIEWED",0,""
"assets/branding/venice-logo-lockup-black.svg","svg","REVIEWED",0,""
"assets/branding/venice-logo-lockup-red.svg","svg","REVIEWED",0,""
"assets/branding/venice-logo-lockup-white.svg","svg","REVIEWED",0,""
"assets/branding/venice-seal-red-fill.svg","svg","REVIEWED",0,""
"assets/branding/venice-wordmark-black.svg","svg","REVIEWED",0,""
"assets/branding/venice-wordmark-red.svg","svg","REVIEWED",0,""
"assets/branding/venice-wordmark-white.svg","svg","REVIEWED",0,""
"assets/mascot/mio-xc3-nerdprofeta-failed-static.png","png","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-failed.gif","gif","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-idle-static.png","png","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-idle.gif","gif","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-jumping-static.png","png","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-jumping.gif","gif","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-look-left-side-static.png","png","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-look-left-side.gif","gif","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-look-right-side-static.png","png","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-look-right-side.gif","gif","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-review-static.png","png","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-review.gif","gif","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-running-left-static.png","png","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-running-left.gif","gif","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-running-right-static.png","png","BINARY",0,"Static binary asset / fixture"
"assets/mascot/mio-xc3-nerdprofeta-running-right.gif","gif","BINARY",0,"Static binary asset / fixture"
